,sbj_ID,task,trialn,target,confound,expected,observed,correct,rt
0,61353c933f32fef782432cc7,familiarity,9,CZPW,TXBX,1,1,True,1902.0
0,61353c933f32fef782432cc7,familiarity,10,WOXA,OMPF,0,0,True,1109.0
0,61353c933f32fef782432cc7,familiarity,11,ZOWZ,NRGJ,0,0,True,1253.0
0,61353c933f32fef782432cc7,familiarity,12,QFREP,PWAQA,1,0,False,2314.0
0,61353c933f32fef782432cc7,familiarity,13,GEUHQ,CTOIV,1,1,True,2096.0
0,61353c933f32fef782432cc7,familiarity,14,KSN,NZE,1,1,True,1373.0
0,61353c933f32fef782432cc7,familiarity,15,TUXE,IQYZ,1,1,True,928.0
0,61353c933f32fef782432cc7,familiarity,16,PTP,UYL,1,1,True,1325.0
0,61353c933f32fef782432cc7,familiarity,17,EYLH,BLZE,0,1,False,1782.0
0,61353c933f32fef782432cc7,familiarity,18,RCIJK,NJHGV,1,0,False,1506.0
0,61353c933f32fef782432cc7,familiarity,19,FQSI,TCSB,0,0,True,1276.0
0,61353c933f32fef782432cc7,familiarity,20,TEKU,BIPA,1,0,False,1314.0
0,61353c933f32fef782432cc7,familiarity,21,KUQVM,TNKDO,1,1,True,2325.0
0,61353c933f32fef782432cc7,familiarity,22,YWQLA,TLCHG,0,0,True,1266.0
0,61353c933f32fef782432cc7,familiarity,23,SPIEF,DRNXR,1,1,True,1048.0
0,61353c933f32fef782432cc7,familiarity,24,TGPV,MFEL,0,0,True,1023.0
0,61353c933f32fef782432cc7,familiarity,25,NXGQG,OPFHS,0,1,False,1157.0
0,61353c933f32fef782432cc7,familiarity,26,KBLP,FYBT,1,0,False,1350.0
0,61353c933f32fef782432cc7,familiarity,27,SMUN,PNSG,0,0,True,1891.0
0,61353c933f32fef782432cc7,familiarity,28,MZJH,OSQL,0,0,True,1567.0
0,61353c933f32fef782432cc7,familiarity,29,STCKM,ZROHX,0,0,True,1481.0
0,61353c933f32fef782432cc7,familiarity,30,WLXCM,BNPNC,0,0,True,1554.0
0,659c0682d109f8537a89fdd3,familiarity,1,KYNY,IOVF,1,1,True,3280.0
0,659c0682d109f8537a89fdd3,familiarity,2,CTOIV,XGWKD,0,0,True,1309.0
0,659c0682d109f8537a89fdd3,familiarity,3,BNPNC,OXVJL,1,1,True,1375.0
0,659c0682d109f8537a89fdd3,familiarity,4,ELG,QHS,1,1,True,2656.0
0,659c0682d109f8537a89fdd3,familiarity,5,TNKDO,MXCUI,1,1,True,1086.0
0,659c0682d109f8537a89fdd3,familiarity,6,TJGU,MGAL,0,0,True,1663.0
0,659c0682d109f8537a89fdd3,familiarity,7,OGDSK,NTGLG,1,1,True,1151.0
0,659c0682d109f8537a89fdd3,familiarity,8,OWMF,KZUO,0,0,True,1695.0
0,659c0682d109f8537a89fdd3,familiarity,9,JVRU,HETV,0,0,True,1215.0
